Item No;Description;Manufacturer;Model Number;Item Type;Custodian;Location;Status;Procedure;Contract Agency;Asset Number;Action Interval;Category;Memo;Serial No;Part Of;Date Acquired;Cost;Action Cost;Time Required;Alternate ID;Department;Metrology Discipline;Range;Standard Type;Use Std;Date Due;Item Out;Last Action Date;UDF Text 1;UDF Text 2;UDF Text 3;UDF Text 4;UDF Text 5;UDF Text 6;UDF Text 7;UDF Text 8;UDF Numeric 1;UDF Numeric 2;UDF Numeric 3;UDF Numeric 4;UDF Numeric 5;UDF Numeric 6;UDF Numeric 7;UDF Numeric 8;Customer Owned;Customer
1479;Portable low-pressure controller;Mensor;CPC2000;Calibration;Dave Niezgodzki;Manufacturing Engineering;Active;;Mensor;MW-PC18;1825;Pressure;;11330621;;;;;;;Manufacturing;Pressure;0 - 0.402" W.C.;Working;;2/24/2026;;3/26/2021;;;;;;;;;;;;;;;;;False;RSM
1480;Temperature & Humidity Transmitter;Dwyer;HMT333;Calibration;Ric Sarvis;R54 ASIC;Active;;MC Lab;MW-HMT39;365;Humidity & Temperature;;T1240118;;;;;;;Manufacturing;Temperature & Humidity;0 - 100% rH, -40 - 140 Deg. F;Working;;3/25/2022;;3/31/2021;;;;;;;;;;;;;;;;;False;R54
1481;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI47;365;Digital Pressure Indicator;;;;;;;;QW-5207-G;Manufacturing;Pressure;0 - 1" W.C.;Working;;3/31/2022;;4/6/2021;;;;;;;;;;;;;;;;;False;Wakarusa
1482;Digital Pressure Indicating Box;Dwyer;N/A;Calibration;Dave Niezgodzki;Wakarusa;Active;;MC Lab;MW-DPI48;365;Digital Pressure Indicator;;;;;;;;QW-5202-B;Manufacturing;Pressure;0 - 1" W.C.;Working;;3/31/2022;;4/6/2021;;;;;;;;;;;;;;;;;False;Wakarusa
1483;Master Gauge;Dwyer;Magnehelic;Calibration;Dave Niezgodzki;Grandview;Active;;MC Lab;MW-PI42;365;Pressure;;M010094;;;;;;QA0491B;Manufacturing;Pressure;0 - 15 PSIG;Working;;4/12/2022;;4/12/2021;;;;;;;;;;;;;;;;;False;Grandview
1484;Fluke Documenting Process Calibrator;GwINSTEK;741B;Calibration;Dave Niezgodzki;P01 Love Line;Active;;Callabco;MW-MFC142;365;Multi-Function Calibrator;;7800014;;;;;;;Manufacturing;Multiple;Multi;Working;;10/5/2022;;10/5/2021;;;;;;;;;;;;;;;;;False;P01 Production
1485;Fluke Documenting Process Calibrator;Fluke;741B;Calibration;Dave Niezgodzki;P01 Love Line;Active;;Callabco;MW-MFC143;182;Multi-Function Calibrator;;8228004;;;;;;;Manufacturing;Multiple;Multi;Working;;10/26/2021;-1;4/27/2021;;;;;;;;;;;;;;;;;False;P01 Production
1486;Fluke Documenting Process Calibrator;Fluke;741B;Calibration;Dave Niezgodzki;P01 Love Line;Active;;Callabco;MW-MFC144;365;Multi-Function Calibrator;;7477001;;;;;;;Manufacturing;Multiple;Multi;Working;;4/22/2022;;4/22/2021;;;;;;;;;;;;;;;;;False;P01 Production
1487;DGH,  4 - 20 mA DAQ;DGH;D1251;Calibration;Dave Niezgodzki;R64 RHP;Active;;Callabco;MW-DAQ30;365;Electrical Measurement;;0810A;;;;;;D1251-002;Manufacturing;Data collection Calibration;4 - 20 mA;Working;;4/28/2022;;4/28/2021;;;;;;;;;;;;;;;;;False;R64
1488;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;Wakarusa;Active;;Ashcroft;MW-PM374;365;Pressure;;61186;;;;;;QW-5110-B;Manufacturing;Pressure;+/- 25.0" WC;Working;;7/1/2022;;7/1/2021;;;;;;;;;;;;;;;;;False;Mag Line
1489;Ashcroft Module;Ashcroft;GQS-1 (+/- 0.06%);Calibration;Dave Niezgodzki;Wakarusa;Active;;Ashcroft;MW-PM375;365;Pressure;;61188;;;;;;QW-5114-C;Manufacturing;Pressure;0 - 200.0" WC;Working;;7/1/2022;;7/1/2021;;;;;;;;;;;;;;;;;False;Mag Line
1490;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;Wakarusa;Active;;PSL;MW-MFC145;365;Multi-Function Calibrator;;49474;;;;;;QW-5101-D;Manufacturing;Pressure;Multi;Working;;5/24/2022;;5/24/2021;;;;;;;;;;;;;;;;;False;Mag Line
1491;Ashcroft Calibrator;Ashcroft;MC6;Calibration;Dave Niezgodzki;Wakarusa;Active;;PSL;MW-MFC146;365;Multi-Function Calibrator;;49773;;;;;;QW-5101-E;Manufacturing;Pressure;Multi;Working;;5/25/2022;;5/25/2021;;;;;;;;;;;;;;;;;False;Mag Line
1492;Digital Multimeter;Fluke;8840A;Calibration;Dave Niezgodzki;P01 Love Line;Active;;Accredited Lab;MW-DMM74;365;Electrical Measurement;;3863024;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;6/16/2022;;6/16/2021;;;;;;;;;;;;;;;;;False;P01 Production
1493;Fluke Documenting Process Calibrator;Fluke;741B;Calibration;Dave Niezgodzki;P01 Love Line;Active;;Callabco;MW-MFC147;365;Multi-Function Calibrator;;7786018;;;;;;;Manufacturing;Multiple;Multi;Working;;5/11/2022;;5/11/2021;;;;;;;;;;;;;;;;;False;P01 Production
1494;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM376;365;Pressure;;A5751;;;;;;;Manufacturing;Pressure;0 - 600 PSIA;Working;;4/16/2022;;4/22/2021;;;;;;;;;;;;;;;;;False;R54
1495;Ashcroft Module;Ashcroft;AQS-2 (+/- 0.05%);Calibration;Dave Niezgodzki;R54;Active;;Ashcroft;MW-PM377;365;Pressure;;A5752;;;;;;;Manufacturing;Pressure;0 - 600 PSIA;Working;;4/16/2022;;4/24/2021;;;;;;;;;;;;;;;;;False;R54
1496;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;Ionizer;Active;;PSL;MW-DMM75;365;Electrical Measurement;;MY61100024;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;4/27/2022;;4/27/2021;;;;;;;;;;;;;;;;;False;P01 Production
1497;Digital Multimeter;Keysight;34450A;Calibration;Dave Niezgodzki;P01 AVPT   ;Active;;PSL;MW-DMM76;365;Electrical Measurement;;MY61100021;;;;;;;Manufacturing;Electrical Measurement;Multi;Working;;4/27/2022;;4/27/2021;;;;;;;;;;;;;;;;;False;P01 Production
1498;Fluke Pressure Measurement Module;Fluke;PM200-G20M;Calibration;Dave Niezgodzki;MFG ENG;Active;;Fluke;MW-PCM62;365;Pressure;;4785472;;;;;;;Manufacturing;Pressure;0 to 3000 PSIG;Working;;4/17/2022;;4/29/2021;;;;;;;;;;;;;;;;;False;626/628 ASIC
